Account,Account_Title,Organization,Budget_Activity,Budget_Activity_Title,Line_Number,PE_BLI,Program_Element_Budget_Line_Item_BLI_Title,Include_In_TOA,FY_2025_Actuals,FY_2025_Reconciliation,FY_2025_Total,FY_2026_Discretionary_Enacted,FY_2026_PL_119_21_Spend_Plan,FY_2026_Total,FY_2027_Discretionary_Request,FY_2027_Mandatory_Request,FY_2027_Total,Classification
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,28,0603178N,Large Unmanned Surface Vehicles (LUSV),Y,45514,,45514,,57860,57860,,,,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,29,0603207N,Air/Ocean Tactical Applications,Y,48819,,48819,35409,,35409,76141,,76141,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,30,0603216N,Aviation Survivability,Y,22877,,22877,24064,,24064,20010,,20010,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,31,0603239N,Naval Construction Forces,Y,7563,,7563,13102,,13102,7726,,7726,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,32,0603254N,ASW Systems Development,Y,18058,,18058,33384,,33384,20070,,20070,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,33,0603261N,Tactical Airborne Reconnaissance,Y,3358,,3358,2241,,2241,3239,,3239,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,34,0603382N,Advanced Combat Systems Technology,Y,6817,,6817,19307,39000,58307,32263,,32263,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,35,0603502N,Surface and Shallow Water Mine Countermeasures,Y,28558,,28558,32359,,32359,32451,,32451,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,36,0603506N,Surface Ship Torpedo Defense,Y,4632,,4632,11832,,11832,9920,,9920,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,37,0603512N,Carrier Systems Development,Y,5583,,5583,8361,,8361,8806,,8806,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,38,0603525N,PILOT FISH,Y,937900,,937900,1118482,,1118482,1339052,,1339052,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,39,0603536N,RETRACT JUNIPER,Y,197772,,197772,184606,,184606,275300,,275300,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,40,0603542N,Radiological Control,Y,795,,795,730,,730,704,,704,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,41,0603553N,Surface ASW,Y,1147,,1147,,,,,,,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,42,0603561N,Undersea Warfare System Development,Y,103870,,103870,171718,,171718,132885,,132885,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,43,0603562N,Submarine Tactical Warfare Systems,Y,14695,,14695,,,,,,,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,44,0603563N,Ship Concept Advanced Design,Y,95525,,95525,4823,162200,167023,353893,,353893,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,45,0603564N,Ship Preliminary Design & Feasibility Studies,Y,52843,,52843,100845,29200,130045,666640,,666640,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,46,0603570N,Advanced Nuclear Power Systems,Y,318002,,318002,343831,,343831,392426,,392426,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,47,0603573N,Advanced Surface Machinery Systems,Y,80955,,80955,150330,,150330,269961,,269961,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,48,0603576N,CHALK EAGLE,Y,120707,,120707,142822,25000,167822,149351,,149351,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,49,0603581N,Littoral Combat Ship (LCS),Y,8955,,8955,10203,,10203,12576,,12576,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,50,0603582N,Combat System Integration,Y,19933,,19933,19643,,19643,18819,,18819,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,51,0603595N,Ohio Replacement,Y,188012,,188012,278305,,278305,331577,,331577,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,52,0603596N,LCS Mission Modules,Y,28533,,28533,39258,,39258,46239,,46239,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,53,0603597N,Automated Test and Re-Test (ATRT),Y,25030,,25030,29169,,29169,18070,,18070,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,54,0603598N,ATRT Enterprise Rapid Capability,Y,51454,,51454,116459,,116459,87585,,87585,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,55,0603599N,Frigate Development,Y,103211,,103211,81218,,81218,212041,,212041,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,56,0603609N,Conventional Munitions,Y,8801,,8801,10877,,10877,10216,,10216,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,57,0603635M,Marine Corps Ground Combat/Support System,Y,89449,,89449,222951,4750,227701,521995,,521995,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,58,0603654N,Joint Service Explosive Ordnance Development,Y,46263,,46263,43657,,43657,43568,,43568,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,59,0603713N,Ocean Engineering Technology Development,Y,15430,,15430,9647,,9647,15903,,15903,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,60,0603721N,Environmental Protection,Y,22796,,22796,22829,,22829,19347,,19347,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,61,0603724N,Navy Energy Program,Y,80698,,80698,58162,98372,156534,59591,,59591,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,62,0603725N,Facilities Improvement,Y,8718,,8718,10925,,10925,13738,,13738,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,63,0603734N,CHALK CORAL,Y,829575,,829575,776792,500000,1276792,995658,,995658,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,64,0603739N,Navy Logistic Productivity,Y,5826,,5826,977,,977,929,,929,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,65,0603746N,RETRACT MAPLE,Y,593506,,593506,614380,,614380,655551,,655551,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,66,0603748N,LINK PLUMERIA,Y,345553,,345553,385360,90000,475360,498853,,498853,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,67,0603751N,RETRACT ELM,Y,98939,,98939,106810,,106810,87999,,87999,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,68,0603764M,LINK EVERGREEN,Y,450729,,450729,521007,,521007,593835,,593835,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,69,0603790N,NATO Research and Development,Y,4953,,4953,5035,,5035,5513,,5513,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,70,0603795N,Land Attack Technology,Y,1673,,1673,1056,,1056,985,,985,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,71,0603851M,Joint Non-Lethal Weapons Testing,Y,29360,,29360,9832,,9832,14152,,14152,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,72,0603860N,Joint Precision Approach and Landing Systems - Dem/Val,Y,3994,,3994,33978,,33978,73813,,73813,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,73,0603889N,Counterdrug RDT&E Projects,Y,,,,,,,6500,,6500,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,74,0603925N,Directed Energy and Electric Weapon Systems,Y,19319,,19319,14480,,14480,94825,,94825,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,75,0604014N,F/A -18 Infrared Search and Track (IRST),Y,8556,,8556,,,,,,,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,76,0604027N,Digital Warfare Office,Y,141844,,141844,150033,,150033,182205,,182205,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,77,0604028N,Small and Medium Unmanned Undersea Vehicles,Y,51775,,51775,,180252,180252,24598,,24598,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,78,0604029N,Unmanned Undersea Vehicle Core Technologies,Y,111241,,111241,,124180,124180,62460,,62460,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,79,0604030N,"Rapid Prototyping, Experimentation and Demonstration.",Y,107754,,107754,,,,,,,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,80,0604031N,Large Unmanned Undersea Vehicles,Y,6776,,6776,,360000,360000,,,,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,81,0604112N,Gerald R. Ford Class Nuclear Aircraft Carrier (CVN 78 - 80),Y,91597,,91597,112704,,112704,111241,,111241,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,82,0604127N,Surface Mine Countermeasures,Y,13940,,13940,18504,,18504,17762,,17762,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,83,0604272N,Tactical Air Directional Infrared Countermeasures (TADIRCM),Y,41438,,41438,14387,,14387,14974,,14974,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,84,0604286N,Navy Advanced Manufacturing,Y,,,,,186000,186000,10016,,10016,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,85,0604289M,Next Generation Logistics,Y,8058,,8058,2722,,2722,24,,24,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,86,0604292N,Future Vertical Lift (Maritime Strike),Y,4704,,4704,7125,,7125,5314,,5314,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,87,0604295M,Marine Aviation Demonstration/Validation,Y,54091,,54091,38873,,38873,47152,,47152,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,88,0604320M,Rapid Technology Capability Prototype,Y,82173,,82173,89007,18500,107507,125999,,125999,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,89,0604454N,LX (R),Y,9677,,9677,26709,,26709,18574,,18574,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,90,0604536N,Advanced Undersea Prototyping,Y,20859,,20859,60480,389408,449888,164512,,164512,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,91,0604545N,Advanced Ship Building Industrial Base and Future Ship Experimental,Y,,,,,,,,1850000,1850000,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,92,0604636N,Counter Unmanned Aircraft Systems (C-UAS),Y,15422,,15422,16689,,16689,20833,,20833,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,93,0604659N,Precision Strike Weapons Development Program,Y,127295,,127295,251765,89333,341098,206873,,206873,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,94,0604707N,Space and Electronic Warfare (SEW) Architecture/Engineering Support,Y,8554,,8554,6605,,6605,8657,,8657,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,95,0604786N,Offensive Anti-Surface Warfare Weapon Development,Y,273393,,273393,183023,118000,301023,104527,,104527,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,96,0605512N,MEDIUM UNMANNED SURFACE VEHICLES (MUSVs)),Y,98858,,98858,,39426,39426,,,,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,97,0605513N,Unmanned Surface Vehicle Enabling Capabilities,Y,102122,,102122,24115,315330,339445,255135,,255135,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,98,0605514M,GROUND BASED ANTI-SHIP MISSILE,Y,48953,,48953,57965,,57965,16307,,16307,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,99,0605516M,LONG RANGE FIRES,Y,19934,,19934,,,,,,,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,100,0605518N,CONVENTIONAL PROMPT STRIKE (CPS),Y,874781,,874781,763394,,763394,1341416,451041,1792457,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,101,0105519N,Nuclear-Armed Sea-Launched Cruise Missile (SLCM-N) Support,Y,,,,,1677309,1677309,,,,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,102,0207147M,Collaborative Combat Aircraft,Y,,,,5000,270000,275000,213934,,213934,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,103,0303260N,Defense Military Deception Initiative,Y,,,,1980,,1980,,,,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,104,0303354N,ASW Systems Development - MIP,Y,7253,,7253,3864,,3864,3206,,3206,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,105,0304240M,Advanced Tactical Unmanned Aircraft System,Y,3504,,3504,2822,,2822,1979,,1979,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,106,0304270N,Electronic Warfare Development - MIP,Y,1395,,1395,1278,,1278,,,,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,107,0304797N,Undersea Artificial Intelligence / Machine Learning (AI/ML),Y,28563,,28563,29308,,29308,13563,,13563,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,108,0603208N,Training System Aircraft,Y,25493,,25493,15101,,15101,80617,,80617,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,109,0604038N,Maritime Targeting Cell,Y,43301,,43301,147802,,147802,216514,,216514,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,110,0604212N,Other Helo Development,Y,,,,987,,987,976,,976,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,111,0604214M,AV-8B Aircraft - Eng Dev,Y,5299,,5299,,,,,,,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,112,0604215N,Standards Development,Y,4919,,4919,4540,,4540,4399,,4399,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,113,0604216N,Multi-Mission Helicopter Upgrade Development,Y,63906,,63906,114071,,114071,88855,,88855,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,114,0604230N,Warfare Support System,Y,105924,,105924,15778,39300,55078,73080,,73080,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,115,0604231N,Command and Control Systems,Y,139697,,139697,64547,,64547,73534,,73534,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,116,0604234N,Advanced Hawkeye,Y,295273,,295273,350324,,350324,390260,,390260,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,117,0604245M,H-1 Upgrades,Y,43732,,43732,62240,,62240,66446,,66446,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,118,0604261N,Acoustic Search Sensors,Y,51894,,51894,52549,,52549,48875,,48875,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,119,0604262N,V-22,Y,96469,,96469,144072,,144072,252335,,252335,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,120,0604264N,Air Crew Systems Development,Y,29180,,29180,44297,,44297,21582,,21582,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,121,0604269N,EA-18,Y,164122,,164122,184921,,184921,131683,,131683,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,122,0604270N,Electronic Warfare Development,Y,179572,,179572,185606,,185606,168985,,168985,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,123,0604273M,Executive Helo Development,Y,49968,,49968,74980,,74980,69438,,69438,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,124,0604274N,Next Generation Jammer (NGJ),Y,74950,,74950,64167,,64167,50332,,50332,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,125,0604280N,Joint Tactical Radio System - Navy (JTRS-Navy),Y,321150,,321150,330855,,330855,409318,,409318,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,126,0604282N,Next Generation Jammer (NGJ) Increment II,Y,142651,,142651,215256,,215256,497011,,497011,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,127,0604307N,Surface Combatant Combat System Engineering,Y,512559,,512559,524135,65000,589135,425060,,425060,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,128,0604329N,Small Diameter Bomb (SDB),Y,21234,,21234,23836,,23836,64428,,64428,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,129,0604366N,Standard Missile Improvements,Y,248688,,248688,511712,,511712,539279,,539279,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,130,0604373N,Airborne MCM,Y,9422,,9422,8372,,8372,8567,,8567,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,131,0604378N,Naval Integrated Fire Control - Counter Air Systems Engineering,Y,40618,,40618,39878,,39878,42177,,42177,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,132,0604501N,Advanced Above Water Sensors,Y,108585,,108585,67881,,67881,67900,,67900,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,133,0604503N,Submarine SWFTS Modernization,Y,94484,,94484,213804,,213804,195361,,195361,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,134,0604504N,Air Control,Y,60478,,60478,23930,,23930,41610,,41610,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,135,0604512N,Shipboard Aviation Systems,Y,12597,,12597,33704,,33704,30970,,30970,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,136,0604516N,Ship Survivability,Y,,,,4364,,4364,7861,,7861,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,137,0604518N,Combat Information Center Conversion,Y,10458,,10458,,,,,,,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,138,0604522N,Air and Missile Defense Radar (AMDR) System,Y,104171,,104171,74937,,74937,96642,,96642,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,139,0604530N,Advanced Arresting Gear (AAG),Y,10744,,10744,34933,,34933,60518,,60518,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,140,0604558N,New Design SSN,Y,264102,,264102,255010,,255010,237103,,237103,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,141,0604562N,Submarine Tactical Warfare System,Y,70147,,70147,,,,,,,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,142,0604567N,Ship Contract Design/ Live Fire T&E,Y,13191,,13191,35634,,35634,19429,,19429,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,143,0604574N,Navy Tactical Computer Resources,Y,3898,,3898,3552,,3552,3415,,3415,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,144,0604601N,Mine Development,Y,83393,,83393,130,178326,178456,158666,,158666,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,145,0604610N,Lightweight Torpedo Development,Y,92266,,92266,5065,88179,93244,102159,,102159,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,146,0604654N,Joint Service Explosive Ordnance Development,Y,8774,,8774,8740,,8740,8509,,8509,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,147,0604657M,USMC Ground Combat/Supporting Arms Systems - Eng Dev,Y,32576,,32576,17377,,17377,69478,,69478,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,148,0604703N,"Personnel, Training, Simulation, and Human Factors",Y,9626,,9626,6703,,6703,8316,,8316,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,149,0604727N,Joint Standoff Weapon Systems,Y,1510,,1510,895,,895,1447,,1447,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,150,0604755N,Ship Self Defense (Detect & Control),Y,166701,,166701,167711,,167711,156167,,156167,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,151,0604756N,Ship Self Defense (Engage: Hard Kill),Y,57754,,57754,145007,200000,345007,296261,,296261,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,152,0604757N,Ship Self Defense (Engage: Soft Kill/EW),Y,144970,,144970,232368,,232368,196761,,196761,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,153,0604761N,Intelligence Engineering,Y,23810,,23810,7023,,7023,6426,,6426,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,154,0604771N,Medical Development,Y,8110,,8110,11487,,11487,6900,,6900,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,155,0604777N,Navigation/ID System,Y,42932,,42932,3724,,3724,3388,,3388,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,156,0604850N,SSN(X),Y,327385,,327385,335987,,335987,315914,,315914,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,157,0605013M,Information Technology Development,Y,14632,,14632,16000,,16000,14380,,14380,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,158,0605013N,Information Technology Development,Y,333279,,333279,234102,,234102,149089,,149089,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,159,0605024N,Anti-Tamper Technology Support,Y,3304,,3304,3428,,3428,3459,,3459,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,160,0605180N,TACAMO Modernization,Y,727931,,727931,1043978,,1043978,1662723,,1662723,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,161,0605212M,CH-53K RDTE,Y,71398,,71398,135432,,135432,139273,,139273,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,162,0605215N,Mission Planning,Y,113212,,113212,120255,,120255,82618,,82618,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,163,0605217N,Common Avionics,Y,85470,,85470,67944,,67944,133855,,133855,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,164,0605220N,Ship to Shore Connector (SSC),Y,6115,,6115,15948,1688,17636,4519,,4519,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,165,0605285N,Next Generation Fighter,Y,437492,,437492,940493,750000,1690493,68498,72115,140613,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,166,0605414N,Unmanned Carrier Aviation (UCA),Y,251254,,251254,314754,,314754,,,,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,167,0605450M,Joint Air-to-Ground Missile (JAGM),Y,20027,,20027,59077,,59077,189866,,189866,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,168,0605500N,Multi-mission Maritime Aircraft (MMA),Y,32992,,32992,41129,,41129,87173,,87173,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,169,0605504N,Multi-Mission Maritime (MMA) Increment III,Y,120834,,120834,103397,,103397,52951,,52951,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,170,0605516N,Long Range Fires,Y,117690,,117690,138443,,138443,186735,,186735,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,171,0605611M,Marine Corps Assault Vehicles System Development & Demonstration,Y,44472,,44472,49471,,49471,12461,,12461,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,172,0605813M,Joint Light Tactical Vehicle (JLTV) System Development & Demonstration,Y,9934,,9934,6984,,6984,2413,,2413,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,173,0204202N,Destroyers Guided Missile (DDG-1000),Y,216153,,216153,58817,,58817,50166,,50166,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,174,0301377N,Countering Advanced Conventional Weapons (CACW),Y,19517,,19517,16906,,16906,15563,,15563,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,175,0302315N,Non-Kinetic Countermeasure Support,Y,8324,,8324,23818,,23818,23146,,23146,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,176,0303267N,Auctioned Spectrum Relocation Fund,Y,13443,,13443,,,,,,,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,177,0303667N,Citizen Broadband Radio System,Y,1473,,1473,,,,,,,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,178,0303867N,AMBIT - Post-Auctioned SRF,Y,84793,,84793,,,,,,,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,179,0303968N,SPP-L3G-7/8Ghz - DSS,Y,8290,,8290,,,,,,,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,180,0303970N,SPP-L3G-ADSSD,Y,51358,,51358,,,,,,,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,181,0304785N,ISR & Info Operations,Y,188392,,188392,177567,,177567,274478,,274478,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,182,0305282M,Joint Fires Network (JFN),Y,,,,,35901,35901,,,,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,183,0306250M,Cyber Operations Technology Development,Y,7289,,7289,11936,,11936,8962,,8962,U
1319N,"Research, Development, Test and Evaluation, Navy",N,06,Management support,184,0604256N,Threat Simulator Development,Y,25374,,25374,25133,,25133,16453,,16453,U
1319N,"Research, Development, Test and Evaluation, Navy",N,06,Management support,185,0604258N,Target Systems Development,Y,15744,,15744,16602,,16602,22653,,22653,U
1319N,"Research, Development, Test and Evaluation, Navy",N,06,Management support,186,0604759N,Major T&E Investment,Y,65039,,65039,64842,,64842,112458,,112458,U
1319N,"Research, Development, Test and Evaluation, Navy",N,06,Management support,187,0605152N,Studies and Analysis Support - Navy,Y,5534,,5534,3596,,3596,4336,,4336,U
1319N,"Research, Development, Test and Evaluation, Navy",N,06,Management support,188,0605154N,Center for Naval Analyses,Y,42277,,42277,31695,,31695,28310,,28310,U
1319N,"Research, Development, Test and Evaluation, Navy",N,06,Management support,189,0605502N,Small Business Innovative Research,Y,585723,,585723,,,,,,,U
1319N,"Research, Development, Test and Evaluation, Navy",N,06,Management support,190,0605804N,Technical Information Services,Y,1819,,1819,,,,,,,U
